work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle,cast member
http://www.wikidata.org/entity/Q132739889,Q132739889,edition_or_translation_of,,http://www.wikidata.org/entity/Q150,French,,,,,,,http://www.wikidata.org/entity/Q2829012,"Akhenaten, Dweller in Truth",
http://www.wikidata.org/entity/Q3045007,Chitchat on the Nile,based_on,1971-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q79,Egypt,,,,,http://www.wikidata.org/entity/Q16207487,Adrift on the Nile,
http://www.wikidata.org/entity/Q12186107,Love on the Pyramids Plateau,based_on,1986-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q79,Egypt,,,,,http://www.wikidata.org/entity/Q116025579,,
http://www.wikidata.org/entity/Q15692204,"Ehrenwerter Herr (German edition, 1996)",edition_or_translation_of,1996-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q72,Zurich,47.374444444,8.541111111,http://www.wikidata.org/entity/Q12208386,Respected Sir,
http://www.wikidata.org/entity/Q133885846,Q133885846,edition_or_translation_of,,http://www.wikidata.org/entity/Q13955,Arabic,,,,,,,http://www.wikidata.org/entity/Q116145839,Under the Umbrella,
http://www.wikidata.org/entity/Q116240697,Q116240697,edition_or_translation_of,2023-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13955,Arabic,,,,,,,http://www.wikidata.org/entity/Q116143963,,
http://www.wikidata.org/entity/Q28717286,Q28717286,based_on,,,,http://www.wikidata.org/entity/Q79,Egypt,,,,,http://www.wikidata.org/entity/Q23307353,The Wedding Song,Bela Lugosi
,,,,,,,,,,,,,,Károly Lajthay
http://www.wikidata.org/entity/Q17300349,"Die Midaq-Gasse (German edition, 1985)",edition_or_translation_of,1985-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,http://www.wikidata.org/entity/Q72,Zurich,47.374444444,8.541111111,http://www.wikidata.org/entity/Q510850,Midaq Alley,
http://www.wikidata.org/entity/Q15813386,Cheops (German edition),edition_or_translation_of,2005-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,http://www.wikidata.org/entity/Q72,Zurich,47.374444444,8.541111111,http://www.wikidata.org/entity/Q6402852,Khufu's Wisdom,
http://www.wikidata.org/entity/Q12200731,Between Two Palaces,based_on,1964-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q79,Egypt,,,,,http://www.wikidata.org/entity/Q3149381,Palace Walk,
http://www.wikidata.org/entity/Q116225261,Q116225261,edition_or_translation_of,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13955,Arabic,,,,,,,http://www.wikidata.org/entity/Q7762831,The Search,
http://www.wikidata.org/entity/Q1931816,Midaq Alley,based_on,1995-05-05T00:00:00Z,,,http://www.wikidata.org/entity/Q96,Mexico,,,,,http://www.wikidata.org/entity/Q510850,Midaq Alley,
http://www.wikidata.org/entity/Q12191739,Karnak,based_on,1975-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q79,Egypt,,,,,http://www.wikidata.org/entity/Q48988873,Karnak Café,
http://www.wikidata.org/entity/Q132688543,Q132688543,edition_or_translation_of,1990-12-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,,,,,http://www.wikidata.org/entity/Q3149381,Palace Walk,
http://www.wikidata.org/entity/Q131832682,Q131832682,edition_or_translation_of,2000-06-06T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,,,,,http://www.wikidata.org/entity/Q7729227,The Day the Leader was Killed,
http://www.wikidata.org/entity/Q116217949,Q116217949,edition_or_translation_of,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13955,Arabic,,,,,,,http://www.wikidata.org/entity/Q7729227,The Day the Leader was Killed,
http://www.wikidata.org/entity/Q121029100,Q121029100,edition_or_translation_of,2023-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13955,Arabic,,,http://www.wikidata.org/entity/Q464955,Windsor,51.483333333,-0.6,http://www.wikidata.org/entity/Q115979442,,
http://www.wikidata.org/entity/Q5087239,Chased by the Dogs,based_on,1962-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13955,Arabic,http://www.wikidata.org/entity/Q79,Egypt,,,,,http://www.wikidata.org/entity/Q2358616,Chased by the Dogs,Shoukry Sarhan
http://www.wikidata.org/entity/Q12214410,Midaq Alley,based_on,1963-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q79,Egypt,,,,,http://www.wikidata.org/entity/Q510850,Midaq Alley,
http://www.wikidata.org/entity/Q132012582,Q132012582,edition_or_translation_of,1994-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,,,,,http://www.wikidata.org/entity/Q16207487,Adrift on the Nile,
