Worklinks,Work,Creatorlink,Creator,Sourcework link,Sourcework,Countrylink,Country,Languagelink,Language,date,Latitude,Longitude
http://www.wikidata.org/entity/Q111513596,Q111513596,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q979914,Quebec French,2007-01-01T00:00:00Z,56,-109
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q3018459,David Mich么d,http://www.wikidata.org/entity/Q631855,"Henry IV, Part 1",http://www.wikidata.org/entity/Q408,Australia,,,2019-10-17T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q30597804,Ophelia,http://www.wikidata.org/entity/Q7449334,Semi Chellas,http://www.wikidata.org/entity/Q41567,Hamlet,http://www.wikidata.org/entity/Q408,Australia,,,2019-06-28T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q3018459,David Mich么d,http://www.wikidata.org/entity/Q495954,Henry V,http://www.wikidata.org/entity/Q408,Australia,,,2019-10-11T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q127950236,Toufann,http://www.wikidata.org/entity/Q866272,Dev Virahsawmy,http://www.wikidata.org/entity/Q86440,The Tempest,http://www.wikidata.org/entity/Q1027,Mauritius,http://www.wikidata.org/entity/Q33661,Mauritian Creole,1991-01-01T00:00:00Z,-20.2,57.5
http://www.wikidata.org/entity/Q54800666,The Klingon Hamlet,http://www.wikidata.org/entity/Q262983,Klingon Language Institute,http://www.wikidata.org/entity/Q41567,Hamlet,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q1860,English,2000-01-01T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q87070591,Romulo & Julita,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,http://www.wikidata.org/entity/Q419,Peru,,,2020-01-01T00:00:00Z,-9.4,-76
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q381768,Joel Edgerton,http://www.wikidata.org/entity/Q631855,"Henry IV, Part 1",http://www.wikidata.org/entity/Q408,Australia,,,2019-10-03T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q3018459,David Mich么d,http://www.wikidata.org/entity/Q495954,Henry V,http://www.wikidata.org/entity/Q408,Australia,,,2019-10-17T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q381768,Joel Edgerton,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2",http://www.wikidata.org/entity/Q408,Australia,,,2019-11-01T00:00:00Z,-25,133
