work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q105943663,"Hamlet, królewicz duński",edition_or_translation_of,1984-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q270,Warsaw,52.23,21.011111111,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q105943600,Hamlet,edition_or_translation_of,1925-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q31487,Kraków,50.061388888,19.937222222,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q105943612,Hamlet,edition_or_translation_of,1875-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,,,http://www.wikidata.org/entity/Q270,Warsaw,52.23,21.011111111,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q105943691,"Hamlet, królewicz duński",edition_or_translation_of,1997-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q270,Warsaw,52.23,21.011111111,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q106568035,Love's Labour's Lost,edition_or_translation_of,1925-04-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,http://www.wikidata.org/entity/Q49145,New Haven,41.308333333,-72.925,http://www.wikidata.org/entity/Q128610,Love's Labour's Lost
http://www.wikidata.org/entity/Q105943637,Hamlet,edition_or_translation_of,1963-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q1799,Wrocław,51.11,17.0325,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q19113033,The Tragedy of Julius Caesar,edition_or_translation_of,1908-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,http://www.wikidata.org/entity/Q866347,Bishopbriggs,55.9046,-4.225,http://www.wikidata.org/entity/Q215750,Julius Caesar
http://www.wikidata.org/entity/Q105943635,"Hamlet, królewic duński",edition_or_translation_of,1935-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q270,Warsaw,52.23,21.011111111,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q105724282,Coriolà,edition_or_translation_of,1918-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7026,Catalan,,,http://www.wikidata.org/entity/Q1492,Barcelona,41.3825,2.176944444,http://www.wikidata.org/entity/Q463126,Coriolanus
http://www.wikidata.org/entity/Q107249278,Beaucoup de bruit pour rien,edition_or_translation_of,1864-01-01T00:00:00Z,http://www.wikidata.org/entity/Q150,French,,,http://www.wikidata.org/entity/Q90,Paris,48.856666666,2.352222222,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing
http://www.wikidata.org/entity/Q19113033,The Tragedy of Julius Caesar,edition_or_translation_of,1908-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,http://www.wikidata.org/entity/Q1156,Mumbai,19.075833333,72.8775,http://www.wikidata.org/entity/Q215750,Julius Caesar
http://www.wikidata.org/entity/Q105943693,"Hamlet, królewicz duński",edition_or_translation_of,1997-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q1799,Wrocław,51.11,17.0325,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q105943673,Hamlet,edition_or_translation_of,1987-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q31487,Kraków,50.061388888,19.937222222,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q105943615,Hamlet,edition_or_translation_of,1877-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,,,http://www.wikidata.org/entity/Q270,Warsaw,52.23,21.011111111,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q105943596,Hamlet królewicz duński,edition_or_translation_of,1961-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q270,Warsaw,52.23,21.011111111,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q19132385,Q19132385,edition_or_translation_of,1920-01-01T00:00:00Z,http://www.wikidata.org/entity/Q150,French,,,http://www.wikidata.org/entity/Q90,Paris,48.856666666,2.352222222,http://www.wikidata.org/entity/Q606830,Antony and Cleopatra
http://www.wikidata.org/entity/Q105943626,Hamlet,edition_or_translation_of,1954-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q270,Warsaw,52.23,21.011111111,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q107286503,Miarka za miarkę,edition_or_translation_of,1895-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,,,http://www.wikidata.org/entity/Q31487,Kraków,50.061388888,19.937222222,http://www.wikidata.org/entity/Q665446,Measure for Measure
http://www.wikidata.org/entity/Q105943659,"Tragiczna historia Hamleta, księcia Danii",edition_or_translation_of,1978-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q31487,Kraków,50.061388888,19.937222222,http://www.wikidata.org/entity/Q41567,Hamlet
