work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q15696724,A Very Old Man With Enormous Wings,based_on,1988-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q29,Spain,,,,,http://www.wikidata.org/entity/Q4340672,A Very Old Man with Enormous Wings
http://www.wikidata.org/entity/Q849169,Love in the Time of Cholera,based_on,2008-02-21T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q499396,Love in the Time of Cholera
http://www.wikidata.org/entity/Q135196051,Dubanta Zahazar Duranta Navik (Ed. 1),edition_or_translation_of,2015-01-01T00:00:00Z,http://www.wikidata.org/entity/Q29401,Assamese,,,http://www.wikidata.org/entity/Q199605,Guwahati,26.1805876,91.750238,http://www.wikidata.org/entity/Q820591,The Story of a Shipwrecked Sailor
http://www.wikidata.org/entity/Q5435060,Farewell to the Ark,based_on,1984-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q17,Japan,,,,,http://www.wikidata.org/entity/Q178869,One Hundred Years of Solitude
http://www.wikidata.org/entity/Q135196051,Dubanta Zahazar Duranta Navik (Ed. 1),edition_or_translation_of,2015-01-01T00:00:00Z,http://www.wikidata.org/entity/Q29401,Assamese,,,http://www.wikidata.org/entity/Q199605,Guwahati,26.1805876,91.750238,http://www.wikidata.org/entity/Q135972987,Dubanta Zahazar Duranta Navik
http://www.wikidata.org/entity/Q77012907,Q77012907,edition_or_translation_of,2015-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q178869,One Hundred Years of Solitude
http://www.wikidata.org/entity/Q129676920,Memories of My Melancholy Whores,edition_or_translation_of,2005-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,http://www.wikidata.org/entity/Q30,United States,39.828175,-98.5795,http://www.wikidata.org/entity/Q1051965,Memories of My Melancholy Whores
http://www.wikidata.org/entity/Q122013925,Q122013925,edition_or_translation_of,2018-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q107232540,
http://www.wikidata.org/entity/Q122136574,Q122136574,edition_or_translation_of,2023-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,,,http://www.wikidata.org/entity/Q1085,Prague,50.0875,14.421388888,http://www.wikidata.org/entity/Q107232540,
http://www.wikidata.org/entity/Q126705122,Chronicle of a Death Foretold,edition_or_translation_of,,http://www.wikidata.org/entity/Q1860,English,,,,,,,http://www.wikidata.org/entity/Q935935,Chronicle of a Death Foretold
http://www.wikidata.org/entity/Q122637017,Q122637017,edition_or_translation_of,1996-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,,,http://www.wikidata.org/entity/Q96,Mexico,23.0,-102.0,http://www.wikidata.org/entity/Q2626841,News of a Kidnapping
